#漢字	音標	解釋
梨	li21	梨
履	li31	～行，～历
利	li55	～润，有～
痢	li55	～疾
痢	li21	癞～（头屑）
資	tsɿ33	～本
姿	tsɿ33	～势
咨	tsɿ33	～询
姊	tsi31	～妹
次	tsʰɿ55	名～，～品
瓷	tsʰɿ21	～砖，陶～
糍	tsʰi21	糍粑，糯米～
自	tsʰɿ55	～私
私	sɿ33	自～
死	si31	～人
四	si55	数字
肆	sɿ55	放～
致	tsɿ55	导～
遲	tsʰɿ21	～到，推～
稚	tsʰɿ33	幼～
師	sɿ33	老～，～父
獅	sɿ33	狮子
脂	tsɿ33	～肪，胭～
旨	tsɿ31	圣～
指	tsɿ31	手～，～甲
至	tsɿ55	～少
示	sɿ55	表～
尸	sɿ33	～体，死～
屎	sɿ31	狗～
視	sɿ55	近～
二	ȵi55	数字
貳	ȵi55	～心
饥	ki33	～饿
肌	ki33	～肉
几	ki33	茶～
器	ʃi55	武～，机～，～重
弃	ʃi55	放～，抛～
祁	kʰi21	～连山
伊	ji33	～犁；姓
懿	ji55	人名用字，司马～
夷	ji21	化险为～，蛮～
姨	ji21	大～，～丈
肄	ji55	～业
你	ni21	～们，第二人称[文]
你	nn̍21	第二人称[白]
厘	li21	～米
狸	li21	狐～
李	li31	姓；水果
里	li33	公～
里	li33	～外
理	li33	道～，～由
鯉	li33	～鱼
吏	li55	官～
滋	tsɿ33	～味
子	tsɿ31	～孙；孔～
梓	tsɿ31	桑～；曾宪～
慈	tsʰɿ21	～悲，～禧太后
磁	tsʰɿ21	～铁，～场
字	sɿ55	～典，文～
司	sɿ33	公～，～令
絲	sɿ33	～绸
思	sɿ33	～想
伺	tsʰɿ55	～候，～机而动
思	sɿ33	意～
辭	tsʰɿ21	～职，告～
詞	tsʰɿ21	歌～
祠	tsʰɿ21	～堂
似	sɿ55	相～，～乎[文]
祀	sɿ55	祭～
寺	sɿ55	～庙，灵光～
嗣	sɿ55	后～；谭～同
飼	sɿ55	～料，～养[文]；喂饭[白]
置	tsɿ55	布～
痴	tsʰɿ33	白～，～呆
恥	tsʰɿ31	～辱
持	tsʰɿ21	支～
痔	tsʰɿ55	～疮
治	tsʰɿ55	～安，统～[文]
治	tsʰɿ21	～鸡，～猪[白]
廁	tsek031	～所，公～
士	sɿ55	～兵
仕	sɿ55	～途
柿	sɿ55	柿子，～饼
事	sɿ55	～实，～情[文]；做～[白]
使	sɿ31	～用，假～，大～馆
史	sɿ31	历～
駛	sɿ31	驾～
之	tsɿ33	～前
芝	tsɿ33	灵～，～麻
止	tsɿ31	停～，～血
趾	tsɿ31	脚～
址	tsɿ31	地～
志	tsɿ55	～气，～愿
志	tsɿ55	县～，标～
痣	tsɿ55	乌～
齒	tsʰɿ31	牙～
詩	sɿ33	～人
始	tsʰɿ31	开～，～终
試	sɿ55	考～[文]
試	tsʰɿ55	试试[白]
時	sɿ21	～间，当～
巿	sɿ55	～场，城～
侍	sɿ55	服～，～卫
而	ji21	～且，反～
耳	ȵi31	耳朵，中～炎
基	ki33	～本，地～
箕	ki33	畚～
己	ki31	自～
紀	ki31	～律，～念
記	ki55	笔～，～号
欺	kʰi33	～负
起	ʃi31	起
杞	ki31	枸～
其	kʰi21	～他，～实
棋	kʰi21	围～，捉～（下棋）
