#漢字	音標	解釋
謹	kin24	谨：～慎，严～
斤	kin44	斤：～两
筋	kin44	筋：牛～丸
逸	zɿt5	逸：劳～结合
引	zɿn24	引：吸～
一	ʔit5	一：数字
寅	zɿn51	寅：地支，子丑寅卯
乙	jiɛt5	乙：天干，甲乙丙丁
印	ʔin31	印：手～
姻	ʔian44	姻：婚～
因	ʔin44	因：原～
釁	hin31	衅：挑～
銀	ŋan51	银：金～，～行
吉	kit5	吉：～利
僅	kin24	仅：～～，不～
緊	kin24	紧：～张
巾	kin44	巾：围～
日	nit5	日：十～，～期
靭	nin24	韧：不易断，坚～[文]
靭	nin24	韧：不易断[白]
認	nin44	认：承～，～真
刃	zɿn31	刃：刀～
仁	zɿn51	仁：～义
忍	nin31	忍：～耐，～受
人	nin51	人：老～，～民
愼	sin24	慎：谨～，～重
腎	sen24	肾：鸡～（鸡肫）[白]
臣	sen51	臣：大～
腎	sen24	肾：～病
晨	sen51	晨：朝～
辰	sen51	辰：时～
室	set5	室：教～，～内
失	set4	失：～去，丧～
伸	sen44	伸：～手[白]
娠	sen51	娠：妊～反应
伸	sen44	伸：～展，延～[文]
申	sen44	申：～请；地支，申酉戌亥
身	sen44	身：～体，上～
實	set3	实：老～，～在
神	sen51	神：～仙，精～
質	tsɿp5	质：～量，品～
震	tsen24	震：地～
疹	tsen24	疹：麻～
振	tsian24	振：～动
診	tsen24	诊：急～
眞	tsen44	真：认～，～假
蝨	siɛt5	虱：虱子，～嫲
襯	ts'aŋ31	衬：～衫
秩	tset5	秩：～序
臻	tsen44	臻：聂荣～
姪	ts'iɛt3	侄：～子
陣	ts'en44	阵：～雨
塵	ts'en51	尘：灰～，～灰
陳	ts'en51	陈：姓；～列，～皮
趁	ts'en44	趁：～机
珍	tsen44	珍：～珠
鎭	tsen24	镇：～长，～压
膝	ts'it5	膝：～头（膝盖）
悉	set5	悉：熟～
訊	sen31	讯：通～
薪	sen44	薪：～水
信	sen31	信：相～
新	sen44	新：～妇（儿媳妇）
新	sen44	新：～旧
辛	sen44	辛：～苦
疾	ts'it3	疾：残～
盡	ts'in44	尽：～量，～力，～头
秦	ts'in51	秦：姓；～国
漆	ts'it5	漆：油～
親	ts'in44	亲：～家
七	ts'it5	七：数字
親	ts'in44	亲：～生，父～
進	tsen31	进：～步，前～
晉	tsen44	晋：山西简称；魏～南北朝
儘	ts'in44	尽：～管，～早
津	tsen44	津：天～（地名）
吝	lin51	吝：吝啬
栗	lik3	栗：～子
燐	lin51	磷：～肥
鱗	lin51	鳞：鱼～
鄰	lin51	邻：～居
抿	tsip5	抿：小口喝
蜜	mit3	蜜：～蜂
密	mit3	密：秘～，～封
敏	min31	敏：灵～
憫	min51	悯：怜～
閩	min51	闽：福建简称，～南
民	min51	民：人～，～族
頻	p'in51	频：～繁
弼	p'it3	弼：～马温；任～时
貧	p'in51	贫：扶～
匹	p'it5	匹：～配
必	pit5	必：～须
畢	pit5	毕：～业
筆	pit5	笔：毛～，～记
鬢	pin44	鬓：～角
殯	pin44	殡：～仪馆，出～
濱	pin44	滨：哈尔～（地名）
檳	pin44	槟：～榔
賓	pin44	宾：贵～
彬	pin44	彬：文质～～；人名用字
恩	ŋan44	恩：～人
恨	han44	恨：仇～
痕	hian51	痕：～迹
很	han24	很：～大
齦	ŋan51	龈：牙～肉（牙龈）
墾	k'en24	垦：开～
根	kan44	根：～本，树～
懇	k'en24	恳：～求，诚～
跟	kan44	跟：～从
吞	t'un44	吞：～口水
淵	jian44	渊：深～，～源
穴	hiɛt3	穴：～位
縣	jian44	县：～长
眩	hian51	眩：晕眩，～昏
懸	hian51	悬：～挂，～崖
血	hiɛt5	血：流～
玄	hian51	玄：～妙
犬	k'ian24	犬：狂～病
缺	k'iɛt5	缺：～点
決	kiɛt5	决：～定
