#漢字	音標	解釋
掃	sɔ33	掃
嫂	sɔ31	嫂
掃	sɔ33	掃
髙	kɔ45	高
膏	kɔ45	膏
篙	kɔ45	篙
羔	kɔ45	羔
糕	kɔ45	糕
稿	kɔ31	稿
吿	kɔ33	告
考	kʰau31	考
烤	hau45	烤
靠	kʰau33	靠
銬	kʰau31	銬
熬	ŋai31	熬
傲	ŋɔ31	傲
蒿	kɔu45	蒿
好	hɔ31	好
好	hɔ31	好
耗	hɔu33	耗
毫	hɔ213	毫
壕	hɔ213	壕
豪	hɔu213	豪
號	hɔu33	號
浩	hɔu33	浩
號	hɔu33	號
襖	ɔ31	襖
懊	ɔu33	懊
奧	ɔ33	奥
澳	ɔu33	澳
包	pau45	包
胞	pau45	胞
飽	pau31	飽
豹	pau33	豹
爆	pau33	爆
泡	pʰau33	泡
拋	pʰau45	抛
炮	pʰau33	炮
泡	pʰau33	泡
跑	pʰau45	跑
刨	pʰau213	刨
鮑	pau45	鮑
鉋	pʰau213	鉋
茅	mau213	茅
貓	mau45	貓
錨	miau213	錨
卯	mau45	卯
貌	mau31	貌
鬧	nau33	鬧
罩	ʦau33	罩
抓	ʦa45	抓
爪	ʦau31	爪
找	ʦau31	找
抄	ʦʰau45	抄
鈔	ʦʰau45	鈔
炒	ʦʰau31	炒
吵	ʦʰau31	吵
巢	sau213	巢
梢	siau45	梢
稍	siau45	稍
潲	sau45	潲
哨	sau45	哨
交	kau45	交
郊	kau45	郊
膠	kau45	膠
敎	kau33	教
茭	kau31	茭
絞	kau213	絞
狡	kau213	狡
鉸	kau33	鉸
攪	kau31	攪
搞	kau31	搞
敎	kau33	教
校	kau33	校
較	kau33	較
酵	hau45	酵
窖	kau33	窖
覺	kau33	覺
敲	hau45	敲
巧	hau45	巧
咬	nau45	咬
哮	hau45	哮
孝	hau33	孝
肴	ŋau31	肴
淆	ŋau213	淆
效	hau31	效
校	kau33	校
校	kau31	校
坳	au33	坳
標	piau213	標
表	piau31	表
錶	piau213	錶
飄	piau45	飄
漂	piau45	漂
票	piau33	票
漂	piau45	漂
嫖	piau213	嫖
苗	miau213	苗
描	miau213	描
貓	mau45	貓
藐	mau31	藐
渺	miau31	渺
秒	miau31	秒
廟	miau33	廟
妙	miau31	妙
燎	liau213	燎
燎	liau213	燎
療	liau213	療
焦	ʦiau45	焦
蕉	ʦiau45	蕉
椒	ʦiau45	椒
剿	sau213	剿
醮	ʦiau45	醮
鍬	ʦiau45	鍬
悄	ʦiau45	悄
樵	ʦiau45	樵
消	siau45	消
宵	siau45	宵
霄	siau45	霄
硝	siau45	硝
銷	siau45	銷
小	siau31	小
笑	siau33	笑
肖	siau45	肖
朝	ʦiau45	朝
超	ʦiau45	超
朝	ʦau213	朝
潮	ʦʰau213	潮
