#漢字	音標	解釋
背	pui33	背：后背
胚	pʰei53	胚：胚子
坯	pui53	坯：粗坯，毛坯
配	pʰui33	配：分配、搭配
培	pʰui21	培：培训
陪	pʰui21	陪：陪你去
賠	pʰui21	赔：赔钱
裴	pʰui21	裴：姓、裴元庆
徘	pʰui21	徘：徘徊
倍	pʰui13	倍：几倍
佩	pʰui33	佩：佩服
背	pui33	背：背书、背诵
焙	pui22	焙：焙干
梅	mui21	梅：梅花、腊梅
枚	mui21	枚：一枚别针
媒	mui21	媒：做媒、媒人
煤	mui21	煤：烧煤、煤矿
玫	mui21	玫：玫瑰花
莓	mui21	莓：一种果子，红色、小而圆。草苺，蛇莓
每	mui13	每：每个人、每天
妹	mui35	妹：妹妹、姊妹
昧	mei22	昧：拾金不昧、昧着良心
堆	toi53	堆：堆起来，一堆东西
對	toi33	对：对错
推	tʰoi53	推：
腿	tʰoi35	腿：
退	tʰoi33	退：
隊	toi35	队：队伍，排队
內	loi22	内：内外、内行、内部
雷	loi21	雷：姓，打雷，雷公
累	loi22	累：极困
催	tsʰoi53	催：催他快去、催眠
崔	tsʰoi53	崔：姓
摧	tsʰøi53	摧：摧残
罪	tsoi22	罪：罪过，犯罪
碎	soi33	碎：东西碎了
瑰	kuɐi33	瑰：玫瑰
盔	kʰuɐi53	盔：头盔
魁	fui53	魁：魁悟、五经魁首
恢	fui53	恢：恢复
塊	kʰuai33	块：一块布
桅	wai21	桅：桅杆
灰	fui53	灰：草木灰、灰色
賄	kʰoi13	贿：贿赂、受贿
悔	fui33	悔：后悔、懊悔
晦	fui33	晦：晦气
回	wui21	回：回去、回东西（转卖）
茴	wui21	茴：茴香
匯	wui22	汇：汇报
潰	kʰui13	溃：溃脓，崩溃，胃溃疡
煨	wui53	煨：煨番薯（把食物直接放在火中）
蛻	tʰoi33	蜕：蝉蜕、蛇蜕、蜕变
兌	toi33	兑：兑钱，兑水，兑换，以物易物（兑糖）
最	tsoi33	最：最好
會	wui22	会：会计，财会
劊	kʰoi13	刽：刽子手
檜	kʰoi13	桧：秦桧
外	ŋoi22	外：外面，外婆
會	wui35	会：开会
會	wui35	会：会不会
繪	kʰoi33	绘：测绘，绘画
乖	kuai53	乖：小孩听话，精乖（精明，贬义）
怪	kuai33	怪：这是怪他，奇怪
懷	wai21	怀：胸怀，怀敞开、抱在怀里，抱（孩子）
槐	wai21	槐：槐树
淮	wai21	淮：淮河、淮北
壞	wai22	坏：不好
拐	kuai35	拐  拐卖
掛	kua33	挂：挂篮子
卦	kua33	卦：卜卦，八卦
歪	wai53	歪：不正，歪嘴、歪戴帽子
畫	wa35	画：画图、图画
蛙	wa53	蛙：青蛙，蛙跳
快	fai33	快：快点，快车
筷	fai33	筷：吃饭用
話	wa35	话：说话、笑话
