#漢字	音標	解釋
穿	tsʰyn55	穿：～堂风，揭～
串	tsʰyn33	串：一～，～通
船	syn11	船：轮～
說	syt033	说：小～
軟	jyn24	软：～弱
捲	kyn35	卷：～起来[动]
圈	hyn55	圈：圆～，～套
拳	kʰyn11	拳：～头
圓	jyn11	圆：团～
院	jyn35	院：医～，～长
閱	jyt022	阅：～读
反	fan35	反：～对，造～
發	fat032	发：～展，～财[文]
發	fat032	发：～虫（长虫）[白]
翻	fan55	翻：～书[文]
煩	fan11	烦：麻～
飯	fan22	饭：食～，～店
罰	fɐt022	罚：～款，惩～
晚	bᵐan24	晚：～会
萬	bᵐan22	万：～一
襪	bᵐɐt022	袜：鞋～
勸	hyn33	劝：规～
原	jyn11	原：～来，平～
願	jyn22	愿：～望
怨	jyn33	怨：～人，埋～
遠	jyn24	远：永～
粵	jyt022	粤：～东
決	kʰyt033	决：～定
犬	hin35	犬：狂～病
血	hyt033	血：流～
縣	jyn35	县：～长
穴	hyt033	穴：～位
吞	tʰun55	吞：～口水
跟	kɐn55	跟：～从
恩	jɐn55	恩：～人
賓	pin55	宾：贵～
筆	pɐt055	笔：毛～，～记
匹	pʰɐt055	匹：～配
貧	pʰɐn11	贫：扶～
民	bᵐɐn11	民：人～，～族
敏	bᵐɐn24	敏：灵～
密	bᵐɐt022	密：秘～，～封
鄰	leŋ11	邻：～居
鱗	løn11	鳞：鱼～
鱗	-55	鳞：鱼～
栗	laʔ022	栗：～子
進	tsɐn33	进：～步，前～
親	tsʰɐn55	亲：～生，父～
七	tsʰɐt055	七：数字
秦	tsʰɐn11	秦：姓；～国
盡	tsɐn22	尽：～量，～力，～头
盡	-11	尽：～量，～力，～头
疾	ʦɐt022	疾：残～
新	sɐn55	新：～旧
信	søn33	信：相～
膝	tsʰɐt055	膝：～头（膝盖）
珍	tsɐn55	珍：～珠
鎭	tsɐn33	镇：～长，～压
陳	tsʰɐn11	陈：姓；～列，～皮
陣	tsɐn22	阵：～雨
姪	tsɐt022	侄：～子
蝨	sɐt055	虱：虱子，～嫲
眞	tsɐn55	真：认～，～假
