#漢字	音標	解釋
刻	haʔ033	刻 刀刻，雕刻
塞	ɬɐʔ055	塞 阻塞
肯	hɐŋ35	肯 肯定
僧	tʃɐŋ33	僧 唐僧
賊	tʃʰɐʔ021	贼 做贼
贈	tʃɐŋ31	赠 赠送
層	tʃʰɐŋ11	层 层次
曾	tʃʰɐŋ11	曾 曾经
則	tʃɐʔ055	则 否则
憎	tʃɐŋ33	憎 憎恨
增	tʃɐŋ33	增 增加
勒	lɐʔ021	勒 勒索
曾	tʃɐŋ33	曾 姓
肋	lɐʔ021	肋 肋骨
棱	leŋ11	棱 棱角
能	nɐŋ11	能 才能
特	tɐʔ021	特 特别
澄	kʰeŋ11	澄 澄清
鄧	tɐŋ31	邓 姓
疼	toŋ33	疼 疼痛
藤	tʰɐŋ11	藤 藤椅
騰	tʰɐŋ11	腾 奔腾
德	tɐʔ055	德 道德
得	tɐʔ055	得 得到
凳	tɐŋ33	凳 凳子
等	tɐŋ35	等 高等
燈	tɐŋ33	灯 灯光
默	mɐʔ021	默 默写
登	tɐŋ33	登 登山
墨	mɐʔ021	墨 笔墨
朋	pʰɐŋ11	朋 朋友
崩	pɐŋ33	崩 山崩
北	pɐʔ055	北 北方
握	aʔ033	握 握手
學	hɔk021	学 学习
巷	hɔŋ31	巷 小巷，街巷
項	hɔŋ13	项 项链
降	hɔŋ11	降 投降
樂	ŋɔk021	乐 音乐
岳	ŋɔk021	岳 姓
嶽	ŋɔk021	岳 五岳
殼	hɔk033	壳 蛋壳
確	kʰɔk033	确 的确
腔	hɔŋ33	腔 口腔
餃	kau35	饺 水饺
角	kɔk033	角 角色
虹	hoŋ11	虹 彩虹
覺	kʰɔk033	觉 知觉
降	kɔŋ44	降 下降
講	kɔŋ35	讲 讲话
港	kɔŋ35	港 港口
肛	kɔŋ33	肛 肛门
扛	kɔŋ33	扛 肩扛
江	kɔŋ33	江 长江
朔	ʃɔk033	朔 朔月（初一）
雙	ʃɔŋ33	双 一双
鐲	tʃʰɔk033	镯 镯子，手镯
窗	tʃʰɔŋ33	窗 窗户
濁	tʃok021	浊 清浊，浑浊
捉	tʃɔk033	捉 捕捉
撞	tʃɔŋ31	撞 碰撞
戳	tʃʰɔk033	戳 戳破，戳穿
琢	tʃiok033	琢 琢磨
啄	tiok033	啄 啄木鸟
卓	tʃʰiok033	卓 卓越
桌	tʃʰɔk033	桌 书桌
樁	tʃɔŋ33	桩 打桩
雹	pau33	雹 冰雹
蚌	pʰɔŋ13	蚌 蚌壳
棒	pʰaŋ13	棒 木棒
龐	pʰɔŋ11	庞 庞大
胖	pʰun33	胖 肥胖
樸	pʰɔk021	朴 朴素
駁	pɔk033	驳 反驳
剝	mɔk033	剥 剥削
綁	pɔŋ35	绑 松绑
邦	pɔŋ33	邦 城邦；刘邦
旺	vɔŋ31	旺 兴旺
往	vɔŋ13	往 来往
王	vɔŋ11	王 姓；大王
枉	vɔŋ35	枉 冤枉
狂	kʰɔŋ11	狂 发狂
况	kʰɔŋ44	况 情况
框	hɔŋ33	框 门框
眶	hɔŋ33	眶 眼眶
筐	hɔŋ33	筐 箩筐
