#漢字	音標	解釋
睬	tsʰai31	睬：理睬
菜	tsʰuɔi52	菜：吃菜
纔	tsʰuɔi22	才：刚才，才来
才	tsʰuɔi22	才：人才，才气
材	tsʰuɔi22	材：棺材，材料
財	tsʰuɔi22	财：财主，发财
裁	tsʰai22	裁：裁缝，裁纸
在	tsʰai52	在：现在，在家
載	tsuɔi52	载：满载
腮	sai44	腮：脸颊
鰓	sai44	鳃：鱼鳃
賽	sai52	赛：比赛，赛跑
該	kuɔi33	该：应该，该死
改	kuɔi31	改：修改，改正
概	kʰai31	概：概括，大概
溉	kʰai31	溉：灌溉
開	kʰuɔi33	开：开门，打开
凱	kʰai31	凯：凯旋，乐凯
慨	kʰai31	慨：慷慨，感慨
咳	kʰiɛn31	咳：咳嗽
呆	ŋuɔi13	呆：笨，发呆，痴呆
磑	ŋain35	磑：研，磨
礙	ŋuɔi52	碍：妨碍，碍事
海	huɔi31	海：大海
孩	hai22	孩：孩子
亥	huɔi52	亥：地支末位，辛亥革命
哀	ɔi44	哀：悲哀，哀悼
埃	ai44	埃：尘埃，埃及
唉	ai44	唉：唉声叹气
愛	ɔi52	爱：喜爱，爱情
貝	pi52	贝：宝贝，贝壳
狽	pi52	狈：狼狈
沛	pʰi52	沛：充沛，沛公
帶	tai52	带：鞋带，带东西
太	tʰai52	太：太阳，老太婆
泰	tʰai52	泰：泰山
大	tʰai52	大：大夫，大黄，大蒜
奈	nai52	奈：无奈，奈何桥
賴	lai52	赖：姓，无赖，赖帐
癩	laiʔ031	癞：癞头，癞（皮）蛤蟆
瀨	lai52	濑：
蔡	tsʰai52	蔡：姓
蓋	kuɔi52	盖：盖子，盖被
丐	kuɔi52	丐：乞丐，给，被动标记
艾	nuɔi52	艾：艾草（端午节挂于门上,可以避邪除毒），艾滋病
害	huɔi52	害：害人
藹	ɔi31	蔼：和蔼
拜	pai52	拜：结拜，拜佛，礼拜
排	pʰai13	排：并排，排队
埋	mai13	埋：埋葬，埋头苦干
