#漢字	音標	解釋
幕	mɔʔ031	幕：幕布，谢幕
寞	mɔʔ031	寞：寂寞
摸	mɔ44	摸：偷偷摸摸
當	tɔŋ44	当：应当，当官
襠	tɔŋ52	裆：裤裆
黨	tɔŋ31	党：共产党，党员
擋	tɔŋ31	挡：阻挡，挡风
當	tɔŋ52	当：当铺，典当
檔	tɔŋ52	档：档案，横档
湯	tʰɔŋ44	汤：喝汤，姓
倘	tʰɔŋ31	倘：倘使
躺	tʰɔŋ31	躺：躺下
燙	tʰɔŋ52	烫：很烫，烫发
趟	tʰɔŋ31	趟：去一趟
托	tʰɔiʔ031	托：托盘，枪托
託	tʰɔiʔ031	讬：托词，寄托
拓	tsʰɔiʔ055	拓：开拓
堂	tʰɔŋ22	堂：堂兄，拜堂
棠	tʰɔŋ22	棠：海棠
螳	tʰɔŋ22	螳：螳螂
唐	tʰɔŋ22	唐：姓，唐朝
糖	tʰɔŋ22	糖：白糖，糖果
塘	tʰɔŋ22	塘：池塘
盪	tʰɔŋ44	盪：用水盪盪碗
蕩	tʰɔŋ31	荡：放荡，荡秋千
宕	tʰɔŋ52	宕：跌宕起伏，雁宕
度	tʰu52	度：忖度
踱	tʰu52	踱：踱方步
囊	nɔŋ22	囊：行囊
諾	nɔʔ031	诺：承诺，诺言
郞	lɔŋ22	郎：郎中，新郎
廊	lɔŋ22	廊：走廊，廊柱
狼	lɔŋ22	狼：动物，狼狈
螂	lɔŋ22	螂：蟑螂，螳螂
朗	lɔŋ52	朗：明朗，朗读，稀疏
浪	lɔŋ52	浪：风浪，浪费
落	lɔʔ055	落：落下，下落
烙	lɔʔ055	烙：烙饼，烙印
酪	lɔʔ055	酪：奶酪
洛	lɔʔ055	洛：洛阳
駱	lɔʔ055	骆：骆驼，姓
樂	lɔʔ055	乐：快乐，乐观
絡	lɔʔ055	络：联络，箩络
贓	tsɔŋ44	赃：赃物，贪赃
髒	tsɔŋ44	脏：肮脏
葬	tsɔŋ52	葬：埋葬，葬身
作	tsɔʔ031	作：工作，作坊
倉	tsʰɔŋ44	仓：谷仓，仓库
蒼	tsʰɔŋ44	苍：苍白，苍蝇
艙	tsʰɔŋ44	舱：船舱
錯	tsʰɔ52	错：错杂
藏	tsʰɔŋ22	藏：隐藏，捉迷藏
藏	tsʰɔŋ22	藏：西藏，藏族
臟	tsʰɔŋ33	臟：五脏，内脏
鑿	tsʰɔʔ055	凿：用凿子凿
昨	tsʰɔʔ031	昨：昨天
桑	sɔŋ44	桑：桑树，桑叶
喪	sɔŋ52	丧：婚喪，丧事
磉	sɔŋ44	磉：柱下石，磉盘
嗓	sɔŋ31	嗓：嗓子
搡	sɔŋ31	搡：推搡
喪	sɔŋ31	丧：丧失，沮丧
索	sɔʔ031	索：绳索，索性
剛	kɔŋ33	刚：刚刚，刚好
崗	kɔŋ33	岗：站岗，岗位
綱	kɔŋ33	纲：上纲上线
鋼	kɔŋ52	钢：钢铁，炼钢
岡	kɔŋ33	冈：井冈山
缸	kɔŋ33	缸：水缸
鋼	kɔŋ52	钢：刀鈍了，加钢钢刀
槓	kɔŋ33	杠：抬物用具
胳	kɔ44	胳：胳臂
各	kɔʔ031	各：各位
閣	kaʔ031	阁：阁下，阁老
擱	kaʔ031	搁：搁脚，耽搁
康	kʰɔŋ44	康：康复，健康
糠	hɔŋ44	糠：谷糠，砻糠
慷	kʰɔŋ31	慷：慷慨
抗	kʰɔŋ52	抗：反抗，抗战
炕	hɔŋ52	炕：北方睡觉用
囥	kʰɔŋ52	囥：藏，安放
昂	ŋɔŋ44	昂：昂首，气昂昂
鄂	ŋɔʔ055	鄂：湖北简称
鰐	ŋɔʔ055	鰐：鳄鱼
腭	ŋɔʔ055	腭：上腭
愕	ŋɔʔ055	愕：惊愕
郝	hau52	郝：姓
行	hɔŋ22	行：银行，行当
航	hɔŋ22	航：航行，起航
杭	hɔŋ22	杭：杭州
鶴	hɔʔ055	鹤：仙鹤
骯	ŋɔŋ44	肮：肮脏
惡	ɔʔ031	恶：凶恶，恶毒
娘	niɔŋ22	娘：爹娘，娘舅
釀	niɔŋ52	酿：酒酿，酿酒
良	liɔŋ22	良：良好，优良
凉	liɔŋ22	凉：风凉，凉快
量	liɔŋ22	量：量尺寸
糧	liɔŋ22	粮：粮食，口粮
梁	liɔŋ22	梁：姓，梁山
粱	liɔŋ22	粱：高粱
兩	liɔŋ31	两：两个
兩	liɔŋ44	两：斤两
亮	liɔŋ52	亮：天亮，亮光
諒	liɔŋ52	谅：原谅，谅解
輛	liɔŋ22	辆：一辆车
量	liɔŋ52	量：数量，气量
略	liɔʔ055	略：战略，略微
掠	liɔʔ055	掠：抢掠，掠夺
將	tsiɔŋ44	将：将来
漿	tsiɔŋ52	浆：米浆，浆糊
蔣	tsiɔŋ31	蒋：姓，蒋介石
奬	tsiɔŋ31	奖：奖品，得奖
槳	tsiɔŋ31	桨：划桨
醬	tsiɔŋ52	酱：酱油，辣酱
將	tsiɔŋ52	将：大将
爵	tsiɔʔ031	爵：爵位
雀	tsiɔʔ031	雀：打麻雀（麻将），吃谷雀，雀雀儿，麻雀
槍	tsʰiɔŋ44	枪：手枪，长枪
搶	tsʰiɔŋ31	抢：抢东西
嗆	tsʰiɔŋ44	呛：呛水，咳嗽
鵲	siaʔ031	鹊：喜鹊
牆	siɔŋ22	墙：墙壁，砌墙
匠	siɔŋ52	匠：匠人，木匠
嚼	tsʰiau52	嚼：嚼碎，咀嚼
相	siɔŋ33	相：互相，相帮
箱	siɔŋ33	箱：箱子，皮箱
廂	siɔŋ33	厢：厢房，车厢
湘	siɔŋ44	湘：湖南简称
襄	siɔŋ44	襄：襄阳
鑲	siɔŋ44	镶：镶牙
想	siɔŋ31	想：思考，想念
相	siɔŋ52	相：相貌，看相
削	siɔʔ031	削：削皮，剥削
詳	siɔŋ22	详：详细
祥	siɔŋ22	祥：慈祥
象	siɔŋ52	象：大象
像	siɔŋ52	像：像章，相像
翔	siɔŋ22	翔：飞翔
張	tʂɔŋ44	张：姓，一张纸
長	tʂɔŋ31	长：省长，长高
漲	tʂɔŋ52	涨：涨价，涨潮
帳	tʂɔŋ52	帐：蚊帐，帐子
脹	tʂɔŋ52	胀：吃胀，肿胀
賬	tʂɔŋ52	账：算账，账簿
着	tʂɔʔ031	着：着衣裳，一着棋，着棋
暢	tʂʰɔŋ31	畅：通畅，畅快
悵	tʂʰɔŋ52	怅：惆怅
長	tʂʰɔŋ22	长：长短，长春，天长地久
腸	tʂʰɔŋ22	肠：大肠，肠胃
場	tʂʰɔŋ22	场：晒场，场地
丈	tʂʰɔŋ52	丈：一丈，老丈人
仗	tʂɔŋ52	仗：打仗，炮仗
杖	tʂʰɔŋ52	杖：拐杖
着	tʂʰɔʔ055	着：着地，碰着，着火，着力
莊	tsɔŋ33	庄：村庄，庄稼
裝	tsɔŋ33	装：装货，假装
妝	tsɔŋ33	妆：化妆，妆扮
壯	tsɔŋ52	壮：胖也，强壮，壮大
瘡	tsʰɔŋ44	疮：生疮，痔疮
闖	tsʰɔŋ31	闯：闯祸
創	tsʰɔŋ31	创：创造，开创
牀	tsʰɔŋ22	床：睡觉用，桌子，机床
狀	tsʰɔŋ52	状：告状，状元
霜	sɔŋ33	霜：落霜，霜降
孀	sɔŋ33	孀：孤孀
爽	sɔŋ31	爽：直爽，爽快
章	tʂɔŋ33	章：文章，姓
樟	tʂɔŋ33	樟：樟树
蟑	tʂɔŋ33	蟑：蟑螂
掌	tʂɔŋ31	掌：巴掌，掌握
障	tʂɔŋ52	障：保障，障碍
瘴	tʂɔŋ52	瘴：瘴气
酌	ʂɔʔ031	酌：斟酌、酌情
昌	tʂʰɔŋ44	昌：人名用字
菖	tʂʰɔŋ44	菖：菖蒲
娼	tʂʰɔŋ44	娼：娼妓
廠	tʂʰɔŋ31	厂：办厂，厂长
唱	tʂʰɔŋ52	唱：唱歌，歌唱
倡	tʂʰɔŋ44	倡：提倡，倡议
綽	tʂʰɔʔ031	绰：绰号，绰绰有余
商	ʂɔŋ44	商：商量，商业
傷	ʂɔŋ44	伤：受伤，伤害
賞	ʂɔŋ31	赏：欣赏，赏赐
晌	ʂɔŋ31	晌：晌午
餉	ʂɔŋ31	饷：军饷
常	ʂɔŋ22	常：经常，常山，常识
嘗	ʂɔŋ22	尝：尝味道
裳	ʂɔŋ22	裳：衣裳
償	ʂɔŋ22	偿：赔偿，偿还
上	ʂɔŋ52	上：动词，上去
尙	ʂɔŋ52	尚：和尚，高尚
上	ʂɔŋ52	上：方位，上面
勺	ʂɔʔ055	勺：饭勺，勺子
芍	ʂɔʔ031	芍：芍药
瓤	nɔŋ22	瓤：瓜瓤，水果的一瓣
壤	ʐɔŋ52	壤：土壤
攘	ʐɔŋ52	攘：攘外安内
嚷	ʐɔŋ52	嚷：叫嚷
讓	ʐɔŋ52	让：让他，让座
若	ʐiɔʔ055	若：若无其事，倘若
弱	niɔʔ055	弱：弱点，衰弱
箬	niuʔ031	箬：裹粽子用
疆	kʰiɔŋ44	疆：新疆，疆域
僵	kʰiɔŋ44	僵：冻僵，僵硬
薑	kiɔŋ44	姜：生姜
繮	kiɔŋ44	缰：缰绳
姜	kiɔŋ44	姜：姓，姜太公
脚	kiɔʔ031	脚：赤脚，八脚蟢
羌	kʰiɔŋ44	羌：羌族
卻	kʰiɔʔ031	却：却步，退却
强	kʰiɔŋ22	强：坚强，强调
强	kʰiɔŋ31	强：勉强，倔強
仰	niɔŋ31	仰：仰视，瞻仰，景仰
虐	niɔʔ031	虐：虐待
瘧	li52	疟：疟疾，疟子
香	ʂiɔŋ44	香：香气，吃香
鄕	ʂiɔŋ44	乡：乡下，城乡
享	ʂiɔŋ31	享：分享，享受
響	ʂiɔŋ31	响：响亮，音响
向	ʂiɔŋ52	向：向前，方向
央	ʐiɔŋ44	央：中央（中间，党中央）
秧	ʐiɔŋ44	秧：秧苗，插秧
殃	ʐiɔŋ44	殃：遭殃，殃及
約	ʐiɔʔ031	约：大约，约定
羊	ʐiɔŋ22	羊：动物
洋	ʐiɔŋ22	洋：海洋，洋气
烊	ʐiɔŋ22	烊：熔化
楊	ʐiɔŋ22	杨：杨树，姓
陽	ʐiɔŋ22	阳：太阳，阳光
揚	ʐiɔŋ22	扬：发扬，扬名
瘍	ʐiɔŋ22	疡：溃疡
養	ʐiɔŋ44	养：养猪，饲养
癢	ʐiɔŋ44	痒：身上痒
樣	ʐiɔŋ52	样：样子，一样
藥	ʐiɔʔ055	药：吃药，药片
鑰	ʐiɔʔ055	钥：钥匙，锁钥
躍	ʐiɔʔ031	跃：大跃进，跳跃
光	kɔŋ44	光：阳光，光滑，光棍，吃光
廣	kɔŋ31	广：广东，推广
郭	kɔʔ031	郭：姓
曠	kʰɔŋ31	旷：旷课，旷工
廓	kʰɔʔ031	廓：轮廓
擴	kʰɔŋ31	扩：扩充，扩大
荒	fɔŋ44	荒：荒地，荒唐
慌	fɔŋ44	慌：心慌，慌忙
謊	fɔŋ44	谎：说谎，谎言
霍	vɔʔ031	霍：姓，霍乱
藿	fɔʔ031	藿：藿香
黃	vɔŋ22	黄：姓，黄色
簧	faŋ22	簧：弹簧
皇	fɔŋ22	皇：皇帝
蝗	fɔŋ22	蝗：蝗虫
蟥	vɔŋ22	蟥：蚂蟥
凰	fɔŋ22	凰：凤凰
晃	fɔŋ31	晃：日光晃眼，晃动
鑊	vɔʔ055	镬：锅
汪	vɔŋ52	汪：姓，一汪水
方	fɔŋ44	方：形状，姓，方面，地方
坊	fɔŋ31	坊：作坊
肪	fɔŋ22	肪：脂肪
倣	fɔŋ31	仿：仿效
放	fɔŋ52	放：放屁，放排，放手，解放
芳	fɔŋ44	芳：芳香，闻
妨	fɔŋ22	妨：妨害，无妨
紡	fɔŋ31	纺：纺纱，纺棉花，纺织
仿	fɔŋ31	仿：相仿，仿照
彷	fɔŋ31	彷：仿佛
訪	fɔŋ31	访：采访，访问
房	fɔŋ22	房：楼房，房间
防	fɔŋ22	防：防止，国防
縛	pɔŋ31	缚：缚鞋带
亡	mɔŋ22	亡：死亡，亡人
芒	mɔŋ22	芒：麦芒
網	miɔŋ31	网：鱼网，自投罗网
望	vɔŋ52	望：希望，望见
妄	mɔŋ52	妄：狂妄，妄想
忘	mɔŋ52	忘：忘记，遗忘
筐	kʰiɔŋ44	筐：箩筐
框	kʰiɔŋ44	框：门框
匡	kʰiɔŋ44	匡：赵匡胤
眶	kʰiɔŋ44	眶：眼眶
狂	kʰɔŋ22	狂：发狂，狂人日记
况	kʰɔŋ31	况：况且，情况
枉	vɔŋ31	枉：冤枉，枉然
王	vɔŋ22	王：姓，称王
往	vɔŋ44	往：来往，往年
旺	vɔŋ52	旺：兴旺，旺盛，火旺
邦	pɔŋ44	邦：刘邦，邦国
綁	pɔŋ31	绑：松绑，捆绑
剝	pɔʔ031	剥：剥皮，剥削
駁	pɔʔ031	驳：反驳，驳斥
胖	pʰɔŋ52	胖：胖大海，肥胖
樸	pʰuʔ031	朴：朴素，简朴
龐	pʰɔŋ22	庞：姓，庞大
棒	puŋ31	棒：棍子
蚌	pʰɔŋ44	蚌：蚌壳，蚌埠
雹	pʰɔʔ055	雹：龙雹，雹子
樁	tsɔŋ44	桩：打桩
卓	tsɔʔ031	卓：卓越
桌	tsɔʔ031	桌：桌子，书桌
啄	toʔ031	啄：啄木鸟，鸡啄米
琢	tsɔʔ031	琢：琢磨，雕琢
涿	tsɔʔ031	涿：涿縣，涿鹿
戳	tsʰɔʔ055	戳：拿棍子、刀子桶
撞	tsʰɔŋ52	撞：撞击，碰撞
濁	tsʰɿʔ055	浊：清浊
擢	tsɔʔ031	擢：擢升
捉	tsɿʔ031	捉：捉拿，捕捉
窗	tsʰɿn44	窗：门窗，窗户
鐲	tʂuʔ031	镯：镯子、手镯
浞	toʔ031	浞：淋雨
雙	sɿn44	双：单双，一双
朔	sɔʔ031	朔：朔望，朔月（每月初一）
江	kɔŋ44	江：长江，江湖
扛	kɔŋ44	扛：肩扛
肛	kɔŋ44	肛：肛门
豇	kɔŋ44	豇：豇豆
講	kɔŋ31	讲：讲话，演讲
港	kɔŋ31	港：河，港口
耩	kɔŋ31	耩：耩地
降	kɔŋ52	降：下降，降低
杠	kɔŋ33	杠：同槓，粗棍
角	kɔʔ031	角：牛角，墙角，角色
餃	kiau22	饺：水饺，饺子
覺	kɔʔ031	觉：知觉，觉得
腔	kʰiɔŋ44	腔：口腔
確	kʰɔʔ031	确：的确，确定
殼	hɔʔ031	壳：蛋壳
樂	lɔʔ055	乐：音乐，乐清
嶽	ŋɔʔ055	岳：五岳
岳	ŋɔʔ055	岳：姓，岳飞
握	vɔʔ031	握：握手，掌握
夯	haŋ44	夯：打夯，夯实
降	hɔŋ22	降：投降，降伏
項	kʰɔŋ52	项：项颈，项链
巷	hɔŋ52	巷：巷战，小巷
學	hɔʔ055	学：学习，数学
崩	pɛin44	崩：山崩，崩溃
北	pɛʔ031	北：南北，北方
朋	pʰɛin22	朋：亲朋，朋友
墨	mɛʔ055	墨：笔墨，墨迹
默	mɛʔ055	默：沉默，默写
登	tɛin44	登：攀登，登山
燈	tɛin44	灯：电灯，灯光
等	tɛin31	等：等人，高等
凳	tɛin52	凳：凳子，板凳
得	tɛʔ055	得：得到，获得，吃得，应该
德	tɛʔ031	德：道德，德国
忒	tʰiʔ055	忒：忒好，忒大
藤	tʰɛin22	藤：藤椅
騰	tʰɛin22	腾：奔腾，腾空
謄	tʰɛin22	誊：誊写
鄧	tʰɛin52	邓：姓，邓小平
澄	tʰɛin22	澄：水浑，澄一澄
特	tʰiʔ055	特：特别，独特
能	nɛin22	能：能干，才能，能够
棱	lin22	棱：棱角
勒	lɛʔ055	勒：勒紧，勒令
肋	lɛʔ055	肋：肋排，肋骨
增	tsɛin44	增：增加
曾	tsɛin33	曾：姓，曾国藩
憎	tsiɛn52	憎：憎恨，厌憎
則	tsɛʔ031	则：否则
蹭	tsʰaiʔ031	蹭：磨蹭，摩擦
層	tsʰɛin22	层：楼层，层次
曾	tsʰɛin22	曾：曾经，不曾
贈	tsɛin52	赠：赠送，馈赠
賊	tsʰɛʔ055	贼：做贼
僧	sɛin44	僧：唐僧，僧尼会
塞	sɛʔ031	塞：瓶塞，塞住
肯	kʰɛin31	肯：不肯，肯定
克	kʰɛʔ031	克：克服，攻克
刻	kʰɛʔ031	刻：時刻表
刻	kʰɛʔ031	刻：用刀刻
黑	hɛʔ031	黑：黑白，天黑
恆	hɛin22	恒：永恒，恒心
冰	pɛin44	冰：结冰，冰箱
逼	pɛʔ031	逼：逼迫，被逼
憑	pʰuŋ22	凭：凭借，文凭
匿	ni52	匿：匿名信
凌	lin22	凌：冰凌，凌厉
陵	lin22	陵：皇陵，陵园
菱	lin22	菱：菱角
力	liʔ055	力：力量，有力
甑	tsɛin52	甑：饭甑
即	tsiʔ031	即：即刻，立即
稷	tsi52	稷：地名用字
鯽	tsiʔ031	鲫：鲫鱼
息	siʔ031	息：休息，息怒
熄	siʔ031	熄：熄灭，熄灯
媳	siʔ031	媳：婆媳，媳妇
徵	tʂʅn44	征：征求
澄	tʂʰəŋ22	澄：澄清
懲	tʂʅn31	惩：惩罚，严惩
橙	tʂʰaŋ22	橙：橙子，脐橙
直	tʂʰʅʔ055	直：笔直，直接
値	tʂʰʅʔ055	值：值得，价值
仄	tsɛʔ031	仄：平仄
側	tsiɛʔ031	侧：侧面，侧着睡
惻	tsiɛʔ031	恻：恻隐之心
測	tsʰiɛʔ031	测：测量，观测，居心叵测
色	siɛʔ031	色：颜色，色彩
嗇	siɛʔ031	啬：吝嗇
蒸	tʂʅn44	蒸：清蒸，蒸发
拯	tʂʅn31	拯：拯救，包拯
證	tʂʅn52	证：证明，作证
症	tʂʅn52	症：病症，症状
織	tʂʅʔ031	织：织布，纺织
職	tʂʅʔ031	职：称职，职务
稱	tʂʰʅn44	称：称呼，称重
稱	tʂʰʅn44	称：相称，称心
秤	tʂʅn52	秤：称东西用
乘	ʂʅn52	乘：乘法，乘坐
繩	ʂuin22	绳：绳子，麻绳
塍	ʂʅn52	塍：田塍
剩	ʂʅn52	剩：剩菜，剩余
食	ʂʅʔ055	食：吃，食物，粮食
蝕	ʂʅʔ055	蚀：月蚀，腐蚀
升	ʂʅn44	升：升级，上升
勝	ʂʅn52	胜：胜任
勝	ʂʅn52	胜：胜败，战胜
式	ʂʅʔ031	式：式样，样式
識	ʂʅʔ031	识：认识，识别
飾	ʂʅʔ031	饰：装饰，首饰
承	ʂʅn22	承：承担，继承
丞	ʂʅn22	丞：丞相
植	tʂʰʅʔ055	植：植物，种植
殖	tʂʰʅʔ055	殖：繁殖，骨殖
仍	ʐʅn22	仍：仍然，仍旧
扔	fiʔ031	扔：抛，扔掉
棘	tsʰiuʔ031	棘：荆棘，棘手
極	kʰiʔ055	极：南极，极其
凝	ni22	凝：鱼、肉汤结冻，凝固
興	ʂʅn44	兴：兴旺，绍兴
興	ʂʅn31	兴：高兴，兴趣
應	ʐʅn52	应：应该，理应
鷹	ʐʅn44	鹰：老鹰，鹰潭
應	ʐʅn52	应：答应
抑	ʐʅʔ031	抑：压抑，抑制
憶	ʐʅʔ031	忆：回忆，忆苦思甜
億	ʐʅ52	亿：亿万
蠅	ʐʅn22	蝇：苍蝇
孕	ʐuin52	孕：怀孕，孕妇
翼	ʐʅʔ055	翼：翅膀，机翼
國	kɛʔ055	国：国家，中国
弘	fɛin22	弘：弘扬
或	fɛʔ055	或：或者，间或
惑	fɛʔ055	惑：迷惑，惑众
域	vɛʔ031	域：地域
百	paʔ031	百：一百，百姓
柏	pʰaʔ031	柏：柏树，松柏
伯	paʔ031	伯：伯伯，伯父
迫	piɛʔ031	迫：迫害，压迫
烹	pʰuŋ44	烹：烹调
碰	pʰuŋ52	碰：碰到，碰撞
拍	pʰɔʔ031	拍：拍灰，拍照，球拍
珀	pʰaʔ031	珀：琥珀
魄	pʰaʔ031	魄：魂魄，气魄
彭	pʰaŋ22	彭：姓，彭德怀
膨	pʰaŋ22	膨：膨胀
白	pʰaʔ055	白：颜色，白吃
帛	paʔ031	帛：财帛
盲	maŋ22	盲：盲人，文盲，捉迷藏
虻	mɔŋ22	虻：牛虻
猛	maŋ31	猛：猛烈，凶猛
蜢	maŋ31	蜢：蚱蜢
孟	mɛin52	孟：姓，孟子，孟尝君
陌	miɛʔ031	陌：陌生
打	ta31	打：打人，打发，打针
冷	laŋ45	冷：天冷，冷清
撑	tʂʰʅn44	撑：撑伞，支撑
拆	tsʰaʔ031	拆：拆开，拆卸
坼	tsʰaʔ031	坼：土地开裂
㿭	tsʰaʔ031	㿭：皮干开裂
宅	tsai44	宅：宅基，某宅
擇	tsʰiɛʔ055	择：选择，择菜
澤	tsʰiɛʔ055	泽：毛泽东
窄	tsaiʔ031	窄：狭窄
鐺	tɔŋ44	铛：烙饼用具
生	saŋ44	生：生活，生熟，生小孩
牲	sɛin44	牲：牺牲，畜牲
甥	saŋ44	甥：外甥
笙	saŋ44	笙：乐器
省	sɛin31	省：节省，省长
更	kaŋ44	更：三更，更换
庚	kaŋ44	庚：天干，庚子
羹	kaŋ44	羹：加菜、肉做的糊，调羹
粳	tʂaŋ44	粳：粳米
哽	kaŋ31	哽：哽住，哽咽
梗	kaŋ31	梗：菜梗，桔梗
埂	ŋaŋ52	埂：田埂
更	kɛin52	更：更加
格	kaʔ031	格：格子，出格
骼	kaʔ031	骼：骨骼
坑	haŋ44	坑：挖坑，坑害
客	haʔ031	客：客人，作客
硬	ŋaŋ52	硬：软硬，硬气
額	niaʔ031	额：额头，名额
亨	həŋ44	亨：大亨，亨通
哼	həŋ31	哼：哼小曲
赫	hə52	赫：赫赫有名，显赫
嚇	haʔ031	吓：恐吓，吓唬
行	haŋ22	行：行为，（车、人）走，
衡	fɛin22	衡：平衡、衡量
杏	hɛin52	杏：银杏、杏仁
行	haŋ22	行：品行
繃	pɛin44	绷：衣服紧绷
浜	paŋ44	浜：沙家浜
逬	pin52	迸：迸发，迸裂
擘	pi31	擘：用手擘开
棚	pʰuŋ22	棚：草棚，瓜棚
蚌	pʰɔŋ45	蚌：蚌埠，蚌壳
萌	mɛin22	萌：萌芽
氓	maŋ22	氓：流氓
脈	maʔ031	脉：把脉
麥	maʔ055	麦：麦子，大麦
摘	tsaʔ031	摘：摘花，文摘
橙	tʂʰaŋ22	橙：甜橙，橙子
爭	tsɛin44	争：争吵，战争
踭	tsaŋ44	踭：脚后跟，肘节
箏	tsɛin44	筝：风筝
睜	tsɛin44	睁：睁眼
責	tsiʔ031	责：责任，负责
冊	tsʰaʔ031	册：书册，册封
策	tsʰiɛʔ031	策：计策，策略
柵	tsʰaʔ055	栅：窗栅，炉栅
耕	kaŋ44	耕：耕田，农耕
耿	kɛin31	耿：耿耿于怀，耿饼，姓
革	kɛʔ031	革：革命，皮革
隔	kaʔ031	隔：隔开，分隔，隔壁
嗝	kaʔ055	嗝：打嗝
莖	kin44	茎：
幸	hɛin52	幸：幸福，荣幸
核	hɛʔ055	核：审核，核对
核	hɛʔ055	核：果子核
鶯	ʐʅn45	莺：黄莺
櫻	ʐʅn45	樱：樱桃，樱花
鸚	ʐʅn45	鹦：鹦哥，鹦鹉
厄	aʔ031	厄：厄运
扼	aʔ031	扼：扼杀，扼腕
軛	niu22	轭：牛轭（牛耕田时套的人字形工具）
軛	aʔ031	轭：牛轭（牛耕田时套的人字形工具）
兵	pin44	兵：当兵，兵马
丙	piaŋ31	丙：天干
秉	pin31	秉：秉性，秉公办事
柄	piaŋ31	柄：把柄，刀柄
碧	piʔ031	碧：碧玉
平	pʰin22	平：平时，平地，太平
評	pʰin22	评：批评，评论
坪	pʰiaŋ22	坪：草坪，大片平地
病	pʰiaŋ52	病：生病，病历
明	min22	明：明朝，明年，清明，明白
盟	mɛin22	盟：同盟，盟友
鳴	min22	鸣：鸣叫，鸡鸣
皿	min31	皿：皿字底，器皿
命	min52	命：算命，命令
京	kin44	京：北京，京剧
荆	kin44	荆：荆州，荆棘
驚	kiaŋ45	惊：吃惊，害羞，眼睛怕光
境	kin52	境：境界，处境
景	kin31	景：景色，风景
警	kin31	警：警察，报警
敬	kin52	敬：敬爱，尊敬
竟	kin52	竟：竟然，未竟
鏡	kiaŋ52	镜：镜子，铜镜
戟	ki31	戟：方天画戟
卿	tsʰin44	卿：人名用字
慶	kʰin52	庆：欢庆，庆祝
隙	siɛ52	隙：空隙
擎	kʰiaŋ22	擎：举起
鯨	kin44	鲸：动物
競	kʰin31	竞：竞争，竞赛
劇	kʰiaʔ031	剧：剧烈
劇	kʰiaʔ031	剧：戏剧
屐	ki45	屐：木鞋
迎	niaŋ22	迎：迎接，欢迎
逆	niaʔ055	逆：逆风，忤逆
英	ʐin44	英：英雄，英国
影	ʐaŋ31	影：电影，人影
映	ʐaŋ31	映：反映，放映
繃	pɔŋ31	绷：捆缚，绷紧
餠	piaŋ31	饼：饼干
倂	pin52	并：合并
璧	piaʔ031	璧：和氏璧
聘	pʰin52	聘：聘请，聘礼
癖	pʰiʔ031	癖：癖好，怪癖
僻	pʰiʔ031	僻：偏僻，僻静
闢	pʰiʔ031	辟：开辟，复辟
名	miaŋ22	名：名字，有名
領	liaŋ44	领：领钱，衣领
嶺	liaŋ44	岭：山岭，岭南
令	lin52	令：令人，命令
精	tsin44	精：精神，妖精
晶	tsin44	晶：水晶，亮晶晶
睛	tsin44	睛：眼睛
井	tsiaŋ31	井：一口井，井井有条
脊	tsiʔ031	脊：背脊，脊梁
跡	tsiʔ031	迹：笔迹，迹象
積	tsiʔ031	积：积极，堆积
淸	tsʰin44	清：清洁，水清
請	tsʰiaŋ31	请：请人，邀请
情	tsʰin22	情：人情，情节
晴	tsʰiaŋ22	晴：天晴，晴朗
靜	tsʰin52	静：静养，安静
靖	tsin52	靖：靖难
淨	tsʰiaŋ52	净：净重，干净
籍	tsʰiʔ055	籍：书籍，祖籍，籍贯
省	sɛin31	省：反省，省亲
性	sin52	性：天性，性别
姓	siaŋ52	姓：姓名
昔	siʔ031	昔：昔日，今昔
惜	siʔ031	惜：可惜，怜惜
夕	siuʔ031	夕：夕阳
席	tsʰiʔ055	席：酒席，主席
蓆	tsʰiaʔ055	席：草席
貞	tʂʅn33	贞：贞节
偵	tʂʅn33	侦：侦察
蟶	ʂʅn52	蛏：蛏子
逞	tʂʰʅn31	逞：逞能，得逞
呈	tʂʰʅn31	呈：呈现，辞呈
程	tʂʰʅn22	程：程度，路程，姓
鄭	tʂʰaŋ52	郑：姓，郑重
擲	tʂʰʅʔ031	掷：掷骰子
正	tʂaŋ44	正：正月
征	tʂʅn44	征：长征，征兵
整	tʂʅn31	整：整体，完整
政	tʂʅn52	政：行政，政治
隻	tʂaʔ031	只：一只
炙	tʂaʔ031	炙：火烤
尺	tʂʰaʔ031	尺：尺寸，卷尺
斥	tʂʰʅʔ031	斥：排斥，斥责
赤	tʂʰaʔ031	赤：赤卫队，赤脚
射	ʂa52	射：射箭，发射
聲	ʂaŋ44	声：声音，笑声
聖	ʂʅn52	圣：圣人，神圣
適	ʂʅʔ031	适：合适，适应
釋	siʔ031	释：解释，释放
成	ʂʅn22	成：完成，成功
城	ʂaŋ22	城：城里，县城
誠	ʂʅn22	诚：诚心，虔诚
盛	ʂʅn52	盛：盛饭
盛	ʂʅn52	盛：兴盛，茂盛，姓
石	ʂaʔ055	石：石头，岩石
碩	ʂɔiʔ031	硕：硕士，硕果
頸	kiaŋ31	颈：项颈，头颈
勁	kin52	劲：劲敌，较劲
輕	kʰin44	轻：轻重，轻松
嬰	ʐʅn44	婴：婴儿
纓	ʐʅn44	缨：红缨帽，红缨枪
益	ʐʅʔ031	益：有益，利益
盈	ʐʅn22	盈：充盈，轻盈，盈利
贏	ʐaŋ22	赢：输赢，赢得
